period,theme,count
2015-01-01,Music/Art,0
2015-01-01,Communication,7
2015-01-01,Low/No Code,0
2015-01-01,Blockchain,1
2015-01-01,Databases,0
2015-01-01,Beginner Friendly,0
2015-01-01,AR/VR,0
2015-01-01,Social Good,7
2015-01-01,Lifehacks,4
2015-01-01,Health,0
2015-01-01,Education,0
2015-01-01,E-commerce/Retail,0
2015-01-01,Fintech,2
2015-01-01,Productivity,8
2016-01-01,Web,0
2016-01-01,COVID-19,0
2016-01-01,Voice skills,1
2016-01-01,Quantum,0
2016-01-01,Gaming,3
2016-01-01,DevOps,3
2016-01-01,Machine Learning/AI,1
2016-01-01,Serverless,0
2016-01-01,IoT,1
2016-01-01,Enterprise,0
2016-01-01,Robotic Process Automation,0
2016-01-01,Open Ended,0
2016-01-01,Design,0
2016-01-01,Cybersecurity,1
2016-01-01,Mobile,0
2016-01-01,Music/Art,0
2016-01-01,Communication,7
2016-01-01,Low/No Code,0
2016-01-01,Blockchain,5
2016-01-01,Databases,0
2016-01-01,Beginner Friendly,0
2016-01-01,AR/VR,3
2016-01-01,Social Good,10
2016-01-01,Lifehacks,1
2016-01-01,Health,0
2016-01-01,Education,0
2016-01-01,E-commerce/Retail,0
2016-01-01,Fintech,1
2016-01-01,Productivity,6
2017-01-01,Web,0
2017-01-01,COVID-19,0
2017-01-01,Voice skills,3
2017-01-01,Quantum,0
2017-01-01,Gaming,0
2017-01-01,DevOps,3
2017-01-01,Machine Learning/AI,8
2017-01-01,Serverless,0
2017-01-01,IoT,2
2017-01-01,Enterprise,0
2017-01-01,Robotic Process Automation,0
2017-01-01,Open Ended,0
2017-01-01,Design,0
2017-01-01,Cybersecurity,0
2017-01-01,Mobile,0
2017-01-01,Music/Art,0
2017-01-01,Communication,7
2017-01-01,Low/No Code,0
2017-01-01,Blockchain,9
2017-01-01,Databases,0
2017-01-01,Beginner Friendly,0
2017-01-01,AR/VR,0
2017-01-01,Social Good,4
2017-01-01,Lifehacks,1
2017-01-01,Health,0
2017-01-01,Education,0
2017-01-01,E-commerce/Retail,0
2017-01-01,Fintech,1
2017-01-01,Productivity,4
2018-01-01,Web,1
